experiment_id,sample_id,model_id,batch,row_index_in_batch,true_label,predicted_label,correct,prediction_margin,category
EXP-XAI-0001,B2:0,MODEL-C3,2,0,1,1,True,0.8669312083611295,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:1,MODEL-C3,2,1,1,1,True,0.8752925754221835,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:70,MODEL-C3,2,70,2,2,True,0.8639734220176661,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:71,MODEL-C3,2,71,2,2,True,0.8836879152705839,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:210,MODEL-C3,2,210,5,6,False,0.3210818552602042,MISCLASSIFIED
EXP-XAI-0001,B2:211,MODEL-C3,2,211,5,5,True,0.25409686522552943,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:212,MODEL-C3,2,212,5,5,True,0.4311144011888757,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:217,MODEL-C3,2,217,1,3,False,0.17333937166568447,MISCLASSIFIED
EXP-XAI-0001,B2:218,MODEL-C3,2,218,1,3,False,0.17333937166568447,MISCLASSIFIED
EXP-XAI-0001,B2:219,MODEL-C3,2,219,1,3,False,0.17333937166568447,MISCLASSIFIED
EXP-XAI-0001,B2:220,MODEL-C3,2,220,1,3,False,0.17333937166568447,MISCLASSIFIED
EXP-XAI-0001,B2:469,MODEL-C3,2,469,4,4,True,0.4205150277776678,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:476,MODEL-C3,2,476,6,6,True,0.3432536990112139,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:514,MODEL-C3,2,514,3,3,True,0.6592677965248618,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:515,MODEL-C3,2,515,3,3,True,0.6672979679866111,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:900,MODEL-C3,2,900,5,5,True,0.0008085830238966363,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:904,MODEL-C3,2,904,5,5,True,0.0013572948202937307,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:959,MODEL-C3,2,959,5,5,True,0.0017283606410950503,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:1007,MODEL-C3,2,1007,5,5,True,0.0010024926416676294,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:1011,MODEL-C3,2,1011,5,5,True,0.0018163579486799586,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:0,MODEL-C3,6,0,2,3,False,0.1819673296364059,MISCLASSIFIED
EXP-XAI-0001,B6:1,MODEL-C3,6,1,2,3,False,0.17100253896776735,MISCLASSIFIED
EXP-XAI-0001,B6:2,MODEL-C3,6,2,2,3,False,0.12823117313385562,MISCLASSIFIED
EXP-XAI-0001,B6:3,MODEL-C3,6,3,2,3,False,0.14068669023149277,MISCLASSIFIED
EXP-XAI-0001,B6:4,MODEL-C3,6,4,2,3,False,0.18486701466819358,MISCLASSIFIED
EXP-XAI-0001,B6:10,MODEL-C3,6,10,2,2,True,0.124476379084351,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:11,MODEL-C3,6,11,2,2,True,0.17553571111237304,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:23,MODEL-C3,6,23,1,1,True,0.15554734745392634,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:74,MODEL-C3,6,74,1,1,True,0.15823548568796558,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:139,MODEL-C3,6,139,1,1,True,0.003037711131623211,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:488,MODEL-C3,6,488,3,3,True,0.351433043200004,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:708,MODEL-C3,6,708,1,2,False,0.0014511236034293051,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:1391,MODEL-C3,6,1391,5,1,False,0.0008255542623651357,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:1465,MODEL-C3,6,1465,5,3,False,0.0011676724758307166,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:1537,MODEL-C3,6,1537,5,3,False,0.0014836161074972543,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B10:0,MODEL-C3,10,0,4,1,False,0.5444247969519589,MISCLASSIFIED
EXP-XAI-0001,B10:1,MODEL-C3,10,1,3,1,False,0.5517278695689654,MISCLASSIFIED
EXP-XAI-0001,B10:2,MODEL-C3,10,2,4,1,False,0.8540853280542291,MISCLASSIFIED
EXP-XAI-0001,B10:3,MODEL-C3,10,3,3,2,False,2.8189428136760064e-05,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY"
EXP-XAI-0001,B10:4,MODEL-C3,10,4,4,1,False,0.8289693346275905,MISCLASSIFIED
EXP-XAI-0001,B10:9,MODEL-C3,10,9,3,3,True,0.8311479179542622,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:11,MODEL-C3,10,11,3,3,True,0.5169921959623507,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:120,MODEL-C3,10,120,6,6,True,0.15189431357234268,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:129,MODEL-C3,10,129,2,2,True,0.45212660693317763,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:133,MODEL-C3,10,133,2,2,True,0.5326428762380704,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:186,MODEL-C3,10,186,6,6,True,0.3390682799226667,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:195,MODEL-C3,10,195,2,1,False,0.0002405389310270456,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B10:840,MODEL-C3,10,840,1,1,True,0.8753248083128133,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:842,MODEL-C3,10,842,1,1,True,0.7487301615480257,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:1323,MODEL-C3,10,1323,5,5,True,0.07074398170530599,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:1343,MODEL-C3,10,1343,5,5,True,0.0519978118989583,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:1711,MODEL-C3,10,1711,5,1,False,0.00040749309881515927,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B10:1953,MODEL-C3,10,1953,5,5,True,0.0003828690128571677,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B10:2157,MODEL-C3,10,2157,5,5,True,0.00025514945001980927,NEAR_DECISION_BOUNDARY
