experiment_id,candidate_id,sample_id,feature_id,reference_value,candidate_value,absolute_error,relative_error,relative_error_denominator,abs_reference_z,reference_magnitude_bin,pass
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F000,-0.6728795605621751,-0.672879577,1.6437824879034224e-08,2.4429074447291587e-08,0.6728795605621751,0.6728795605621751,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F001,-0.7123646792526733,-0.712364733,5.374732670038185e-08,7.544917408983139e-08,0.7123646792526733,0.7123646792526733,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F002,-0.7084176118482455,-0.708417594,1.7848245437157573e-08,2.519452528938673e-08,0.7084176118482455,0.7084176118482455,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F003,-0.7380099386063503,-0.73800993,8.606350299089627e-09,1.1661564226820253e-08,0.7380099386063503,0.7380099386063503,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F004,-0.6915949953290754,-0.691594958,3.732907538633867e-08,5.397534053666296e-08,0.6915949953290754,0.6915949953290754,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F005,0.6667309602121495,0.66673094,2.0212149509646338e-08,3.0315300647228026e-08,0.6667309602121495,0.6667309602121495,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F006,0.6244297085228141,0.624429703,5.5228140949381554e-09,8.844572927196615e-09,0.6244297085228141,0.6244297085228141,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F007,0.4554746855683356,0.455474675,1.0568335595539935e-08,2.3202904421247688e-08,0.4554746855683356,0.4554746855683356,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F008,-0.706204096176316,-0.706204116,1.982368402764223e-08,2.8070757639294275e-08,0.706204096176316,0.706204096176316,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F009,-0.6558651145369804,-0.655865192,7.746301966538027e-08,1.1810815661398101e-07,0.6558651145369804,0.6558651145369804,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F010,-0.7426858402046471,-0.742685854,1.379535286005762e-08,1.857495069012802e-08,0.7426858402046471,0.7426858402046471,"[0.1,1)",True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F011,-0.766098881591576,-0.766098857,2.4591575997767734e-08,3.2099741415466573e-08,0.766098881591576,0.766098881591576,"[0.1,1)",True
