experiment_id,sample_id,batch,feature,raw_source_float64,raw_input_float32,raw_cast_absolute_error,raw_cast_relative_error
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,0,21749.5635,21749.564,0.0009531249997962732,4.3822718547720426e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,1,2.627488,2.627488,1.0212707524104303e-07,3.886871233704703e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,2,3.507524,3.507524,1.3519287023200377e-08,3.854367646009087e-09
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,3,4.110899,4.110899,2.8442382671300948e-08,6.918774377891782e-09
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,4,5.015697,5.015697,2.4108883778239942e-09,4.806686643599073e-10
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,5,-3.474738,-3.474738,1.173858641401182e-07,3.378265185464867e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,6,-4.569693,-4.569693,8.853149413567962e-08,1.937361965796819e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,7,-13.448491,-13.448491,9.64965813921026e-08,7.175272035509604e-09
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,8,21138.044,21138.045,0.0009218749983119778,4.361212410722476e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,9,2.713281,2.713281,8.378601057401625e-08,3.0879960672711836e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,10,3.612213,3.612213,1.0365295421976839e-07,2.8695139024129637e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,11,4.28157,4.28157,4.226684602315345e-08,9.871810112447873e-09
