experiment_id,model_id,sample_id,class_label,reference_score,exported_score,score_absolute_error,score_pass,reference_probability,exported_probability,probability_absolute_error,probability_pass,probability_sum,normalization_error,normalization_pass
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,1,3.4546875400103,3.45468712,4.200102998730415e-07,True,0.914208755865913,0.91420871,4.586591295652198e-08,True,0.9999999877600001,1.2239999902519116e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,2,-0.8426660512937496,-0.842666388,3.3670625043669133e-07,True,0.0124373662937289,0.0124373632,3.09372889979731e-09,True,0.9999999877600001,1.2239999902519116e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,3,-0.2711403863270716,-0.27113992,4.663270716243062e-07,True,0.02202616394889231,0.0220261831,1.9151107689269198e-08,True,0.9999999877600001,1.2239999902519116e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,4,-0.19527111791148188,-0.195272043,9.250885181222301e-07,True,0.023762299866929796,0.0237622876,1.226692979486299e-08,True,0.9999999877600001,1.2239999902519116e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,5,-1.9346317249179643,-1.93463087,8.549179644212757e-07,True,0.004173436005047893,0.00417344086,4.85495210700293e-09,True,0.9999999877600001,1.2239999902519116e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00000,6,-0.21097825956016436,-0.210977435,8.245601643697142e-07,True,0.023391978019488086,0.023392003,2.4980511915961845e-08,True,0.9999999877600001,1.2239999902519116e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00121,1,3.883125833290729,3.88312793,2.096709271093289e-06,True,0.6245456345243792,0.62454617,5.354756208442168e-07,True,0.9999999780790002,2.1920999793145768e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00121,2,3.2979513832506258,3.29795098,4.0325062578006055e-07,True,0.34787734145281635,0.347876787,5.544528163259344e-07,True,0.9999999780790002,2.1920999793145768e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00121,3,0.3243415249571435,0.324343294,1.7690428564809402e-06,True,0.017782949274042368,0.0177829564,7.125957632997393e-09,True,0.9999999780790002,2.1920999793145768e-08,True
EXP-EMBED-FP32-EQUIV-001,MODEL-C1,GOLD-MODEL-C1-B2-R00121,4,-0.3490089488532151,-0.349008888,6.085321507809383e-08,True,0.00906925043468289,0.00906924065,9.784682890312535e-09,True,0.9999999780790002,2.1920999793145768e-08,True
