experiment_id,sample_id,model_id,batch,true_class,reference_prediction,export_prediction,reference_margin,reference_confidence,agreement,boundary_case,reference_top_class,export_top_class,export_runner_up_class,exported_margin,margin_error,probability_vector_max_error,analysis_status
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00540,MODEL-C1,2,3,1,1,0.0010022817976618,0.5004983750423656,True,True,1,1,3,0.0010037420000000297,1.4602023382297245e-06,7.539576344361976e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00778,MODEL-C1,2,5,5,5,0.0047497328791268,0.3584592299005199,True,True,5,5,1,0.004750072999999966,3.4012087316622613e-07,2.1702139302304246e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R01461,MODEL-C1,6,5,3,3,0.0016263730517816,0.4349788249815385,True,True,3,3,1,0.0016267000000000365,3.26948218436424e-07,1.6701846144995258e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R01464,MODEL-C1,6,5,3,3,0.0005856692444233,0.4382051217671861,True,True,3,3,1,0.0005862409999999874,5.71755576687363e-07,3.025227627850846e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R02287,MODEL-C1,10,3,3,3,0.0009591359921911,0.4995409128095369,True,True,3,3,1,0.0009578169999999719,1.3189921911280211e-06,7.028095369565612e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R02847,MODEL-C1,10,3,3,3,0.0027285068397802,0.5013642499279357,True,True,3,3,1,0.0027284620000000426,4.483978015756493e-08,2.5911844503401227e-08,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00722,MODEL-C4,2,5,4,4,0.0060962286407777,0.3748432377674033,True,True,4,4,1,0.0060960050000000154,2.2364077768496915e-07,1.3587337438503155e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00749,MODEL-C4,2,5,4,4,0.0004976310786986,0.3539707917780498,True,True,4,4,5,0.0004976389999999942,7.921301394117272e-09,1.0353151874697986e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R00665,MODEL-C4,6,5,2,2,0.0008935967506243,0.2837630037191023,True,True,2,2,3,0.0008938019999999991,2.0524937569910227e-07,1.0728089766542936e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R01811,MODEL-C4,6,5,1,1,0.0004255646258703,0.2131759492476824,True,True,1,1,3,0.0004254729999999818,9.162587031821432e-08,7.601433810178193e-08,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R02197,MODEL-C4,10,3,3,3,0.0002317244774205,0.3849582957248778,True,True,3,3,1,0.00023195199999997973,2.2752257947973977e-07,1.8027512216356456e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R02610,MODEL-C4,10,6,3,3,2.4275151297326047e-05,0.3230119033558296,True,True,3,3,6,2.491500000001423e-05,6.398487026881838e-07,3.596441703890285e-07,EXECUTED_CANDIDATE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C2-B2-R00732,MODEL-C2,2,5,4,NOT_APPLICABLE,0.0,0.43,NOT_APPLICABLE,True,4,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C2-B2-R00984,MODEL-C2,2,5,4,NOT_APPLICABLE,0.0,0.415,NOT_APPLICABLE,True,4,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C2-B6-R00932,MODEL-C2,6,2,2,NOT_APPLICABLE,0.0,0.435,NOT_APPLICABLE,True,2,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C2-B6-R01338,MODEL-C2,6,2,1,NOT_APPLICABLE,0.0049999999999999,0.345,NOT_APPLICABLE,True,1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C2-B10-R00007,MODEL-C2,10,3,2,NOT_APPLICABLE,0.0,0.38,NOT_APPLICABLE,True,2,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C2-B10-R00093,MODEL-C2,10,3,2,NOT_APPLICABLE,0.0,0.445,NOT_APPLICABLE,True,2,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C3-B2-R00900,MODEL-C3,2,5,5,NOT_APPLICABLE,0.0008085830238966,0.3026793436638101,NOT_APPLICABLE,True,5,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C3-B2-R01007,MODEL-C3,2,5,5,NOT_APPLICABLE,0.0010024926416676,0.3178054093809734,NOT_APPLICABLE,True,5,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C3-B6-R01391,MODEL-C3,6,5,1,NOT_APPLICABLE,0.0008255542623651,0.4186660485835058,NOT_APPLICABLE,True,1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C3-B6-R01465,MODEL-C3,6,5,3,NOT_APPLICABLE,0.0011676724758307,0.3840675673210261,NOT_APPLICABLE,True,3,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C3-B10-R00003,MODEL-C3,10,3,2,NOT_APPLICABLE,2.8189428136760064e-05,0.4539178137071357,NOT_APPLICABLE,True,2,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE_STAGE14_C2_C3_OUT_OF_SCOPE
