experiment_id,candidate_id,sample_id,reference_scores,candidate_scores,reference_probabilities,candidate_probabilities,reference_margin,candidate_margin,reference_prediction,candidate_prediction,runner_up_class,agreement
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00540,"[12.803921027177115, 1.3443464359780541, 12.801916451821807, -1.6959966312145618, -11.877645705005285, -13.37654157875702]","[12.8039207, 1.34434736, 12.8019123, -1.69599676, -11.8776436, -13.376544]","[0.5004983750423656, 5.27925526705897e-06, 0.49949609324470373, 2.5244597152316705e-07, 9.557282762950012e-12, 2.1348739029658613e-12]","[0.500499368, 5.27927023e-06, 0.499495149, 2.52446398e-07, 9.55732455e-12, 2.13487149e-12]",0.0010022817976618,0.0010042189999999174,1,1,3,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00778,"[3.636847336705139, -1.4365917926361, 1.9052320903145141, 3.1755907401063217, 3.650186319801198, -10.931264694290967]","[3.63684702, -1.43659234, 1.90523243, 3.17559171, 3.65018678, -10.9312677]","[0.35370949702139304, 0.002214522527397781, 0.06260597369300352, 0.22301061021124063, 0.3584592299005199, 1.6664644515412143e-07]","[0.353709251, 0.0022145207, 0.0626059771, 0.223010764, 0.358459264, 1.66645918e-07]",0.0047497328791268,0.004750012999999997,5,5,1,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B6-R01461,"[1.969875034957432, 0.36884153520029417, 1.9736210130117668, -1.6438912799472207, -1.11733246904791, -1.5511138341744406]","[1.96987426, 0.368841648, 1.97362161, -1.64389193, -1.11733305, -1.55111659]","[0.4333524519297569, 0.08740197449559002, 0.43497882498153856, 0.011678914760488228, 0.019773523969734155, 0.012814309862892144]","[0.433352202, 0.0874019936, 0.434979171, 0.011678908, 0.0197735149, 0.0128142759]",0.0016263730517816,0.0016269689999999781,3,3,1,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B6-R01464,"[2.0026877419408713, 0.23783008609285847, 2.0040251543609227, -1.7684980321193147, -0.7082318279965868, -1.76781312227883]","[2.00268722, 0.237830132, 2.0040257, -1.76849771, -0.708231449, -1.76781344]","[0.4376194525227628, 0.07492533220451876, 0.4382051217671861, 0.010076076278810594, 0.029091037380223568, 0.010082979846498273]","[0.437619209, 0.0749253333, 0.438205361, 0.0100760795, 0.0290910471, 0.0100829769]",0.0005856692444233,0.0005861520000000064,3,3,1,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B10-R02287,"[6.210437532282087, 0.5878304673421118, 6.212359412823193, -2.782933066828102, -5.488425258204277, -4.739269087415074]","[6.21043968, 0.587831199, 6.21236134, -2.78293276, -5.48842525, -4.73926783]","[0.4985817768173458, 0.001802474704979256, 0.49954091280953694, 6.193914071523655e-05, 4.13985229728149e-06, 8.756675125396235e-06]","[0.498581797, 0.00180247193, 0.499540806, 6.19389975e-05, 4.13984344e-06, 8.7566641e-06]",0.0009591359921911,0.0009590090000000107,3,3,1,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B10-R02847,"[21.90533682275886, 3.8214929607519132, 21.910793850018624, -5.801219107342895, -19.192489443281154, -22.643915082905064]","[21.9053345, 3.8214941, 21.9107933, -5.80121994, -19.1924915, -22.643919]","[0.4986357430881555, 6.983446420093343e-09, 0.5013642499279357, 4.623587205686255e-13, 7.066823437279154e-19, 2.240212059161356e-20]","[0.498635292, 6.98347113e-09, 0.501364708, 4.62358992e-13, 7.06680508e-19, 2.24021076e-20]",0.0027285068397802,0.0027294159999999845,3,3,1,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P1-RECIPROCAL,GOLD-MODEL-C1-B2-R00540,"[12.803921027177115, 1.3443464359780541, 12.801916451821807, -1.6959966312145618, -11.877645705005285, -13.37654157875702]","[12.8039207, 1.34434783, 12.8019123, -1.69599676, -11.8776436, -13.376544]","[0.5004983750423656, 5.27925526705897e-06, 0.49949609324470373, 2.5244597152316705e-07, 9.557282762950012e-12, 2.1348739029658613e-12]","[0.500499368, 5.27927523e-06, 0.499495149, 2.52446398e-07, 9.55732455e-12, 2.13487149e-12]",0.0010022817976618,0.0010042189999999174,1,1,3,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P1-RECIPROCAL,GOLD-MODEL-C1-B2-R00778,"[3.636847336705139, -1.4365917926361, 1.9052320903145141, 3.1755907401063217, 3.650186319801198, -10.931264694290967]","[3.6368463, -1.43659186, 1.90523243, 3.17559171, 3.65018678, -10.9312677]","[0.35370949702139304, 0.002214522527397781, 0.06260597369300352, 0.22301061021124063, 0.3584592299005199, 1.6664644515412143e-07]","[0.353709131, 0.00221452233, 0.0626059994, 0.223010838, 0.358459383, 1.66645975e-07]",0.0047497328791268,0.00475025200000001,5,5,1,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P1-RECIPROCAL,GOLD-MODEL-C1-B6-R01461,"[1.969875034957432, 0.36884153520029417, 1.9736210130117668, -1.6438912799472207, -1.11733246904791, -1.5511138341744406]","[1.96987343, 0.368841141, 1.97362208, -1.64389193, -1.11733317, -1.55111611]","[0.4333524519297569, 0.08740197449559002, 0.43497882498153856, 0.011678914760488228, 0.019773523969734155, 0.012814309862892144]","[0.433351904, 0.0874019712, 0.434979439, 0.0116789099, 0.0197735168, 0.0128142834]",0.0016263730517816,0.0016275350000000133,3,3,1,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P1-RECIPROCAL,GOLD-MODEL-C1-B6-R01464,"[2.0026877419408713, 0.23783008609285847, 2.0040251543609227, -1.7684980321193147, -0.7082318279965868, -1.76781312227883]","[2.00268722, 0.237830132, 2.0040257, -1.76849782, -0.70823133, -1.76781344]","[0.4376194525227628, 0.07492533220451876, 0.4382051217671861, 0.010076076278810594, 0.029091037380223568, 0.010082979846498273]","[0.437619209, 0.0749253333, 0.438205361, 0.0100760795, 0.0290910564, 0.0100829769]",0.0005856692444233,0.0005861520000000064,3,3,1,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P1-RECIPROCAL,GOLD-MODEL-C1-B10-R02287,"[6.210437532282087, 0.5878304673421118, 6.212359412823193, -2.782933066828102, -5.488425258204277, -4.739269087415074]","[6.21043968, 0.58783114, 6.21236086, -2.78293276, -5.48842573, -4.73926783]","[0.4985817768173458, 0.001802474704979256, 0.49954091280953694, 6.193914071523655e-05, 4.13985229728149e-06, 8.756675125396235e-06]","[0.498581916, 0.00180247228, 0.499540687, 6.19390412e-05, 4.13984253e-06, 8.75666956e-06]",0.0009591359921911,0.0009587709999999694,3,3,1,True
