experiment_id,sample_id,batch,true_label,reference_class,fused_class,reference_runner_up,fused_runner_up,probability_vector_L1,probability_sum,normalization_error,reference_margin,fused_margin,margin_error,prediction_agreement,reference_score_1,fused_score_1,score_absolute_error_1,score_relative_error_1,reference_probability_1,fused_probability_1,probability_absolute_error_1,reference_score_2,fused_score_2,score_absolute_error_2,score_relative_error_2,reference_probability_2,fused_probability_2,probability_absolute_error_2,reference_score_3,fused_score_3,score_absolute_error_3,score_relative_error_3,reference_probability_3,fused_probability_3,probability_absolute_error_3,reference_score_4,fused_score_4,score_absolute_error_4,score_relative_error_4,reference_probability_4,fused_probability_4,probability_absolute_error_4,reference_score_5,fused_score_5,score_absolute_error_5,score_relative_error_5,reference_probability_5,fused_probability_5,probability_absolute_error_5,reference_score_6,fused_score_6,score_absolute_error_6,score_relative_error_6,reference_probability_6,fused_probability_6,probability_absolute_error_6
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00000,2,1,1,1,4,4,1.0183182597156559e-07,1.0000000101,1.0099999947499327e-08,3.6499586579217818,3.649958029,6.289217817645465e-07,True,3.4546875400103,3.45468688,6.600102997467161e-07,1.9104775528983103e-07,0.914208755865913,0.91420871,4.586591295652198e-08,-0.8426660512937496,-0.842665374,6.772937496402065e-07,8.037510809891462e-07,0.0124373662937289,0.0124373818,1.5506271098739144e-08,-0.2711403863270716,-0.271140069,3.173270716194665e-07,1.1703423304733392e-06,0.02202616394889231,0.0220261831,1.9151107689269198e-08,-0.19527111791148188,-0.195271149,3.1088518120947484e-08,1.5920694495660226e-07,0.023762299866929796,0.0237623099,1.0033070204501504e-08,-1.9346317249179643,-1.93463182,9.508203557828665e-08,4.914735675717221e-08,0.004173436005047893,0.004173439,2.9949521074962293e-09,-0.21097825956016436,-0.210978538,2.7843983563258234e-07,1.3197560554962302e-06,0.023391978019488086,0.0233919863,8.280511915037536e-09
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00121,2,2,1,1,2,2,2.8543136723879195e-07,1.000000035663,3.566300010859891e-08,0.5851744500401033,0.5851738400000004,6.100401028774627e-07,True,3.883125833290729,3.88312602,1.8670927115493896e-07,4.8082209840908876e-08,0.6245456345243792,0.624545515,1.1952437917184255e-07,3.2979513832506258,3.29795218,7.967493740324016e-07,2.415891811137269e-07,0.34787734145281635,0.347877502,1.605471836585437e-07,0.3243415249571435,0.324341685,1.600428564674239e-07,4.934393044139845e-07,0.017782949274042368,0.017782947,2.2740423676059773e-09,-0.3490089488532151,-0.349008948,8.532151096751761e-10,2.4446797495557004e-09,0.00906925043468289,0.0090692481,2.334682889723605e-09,-3.4413674622231625,-3.44136786,3.977768376905999e-07,1.1558685378911311e-07,0.00041169648215637117,0.00041169615,3.3215637114695704e-10,-3.7150423304222544,-3.71504307,7.395777457119834e-07,1.9907653262942026e-07,0.0003131278319227799,0.000313127413,4.1892277992915117e-10
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00218,2,1,2,2,3,3,1.6650575171881814e-37,1.0,0.0,75.17706851617882,75.1769943,7.421617881675502e-05,True,-21.656666753116443,-21.6566696,2.846883557339197e-06,1.3145529687432273e-07,8.639126208050836e-79,0.0,8.639126208050836e-79,158.09125414903897,158.091217,3.7149038973893767e-05,2.3498478251600102e-07,1.0,1.0,0.0,82.91418563286015,82.9142227,3.706713984286125e-05,4.470542592915606e-07,2.243954144248281e-33,2.24412065e-33,1.6650575171877331e-37,44.462212219778706,44.4622307,1.84802212928048e-05,4.156388171028521e-07,4.482642518623462e-50,0.0,4.482642518623462e-50,-74.65548578168921,-74.6554947,8.918310797412232e-06,1.1945955081575037e-07,8.305679473125528e-102,0.0,8.305679473125528e-102,-189.15549946687116,-189.155548,4.853312884733896e-05,2.565779424025633e-07,1.558299910742606e-151,0.0,1.558299910742606e-151
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00231,2,1,1,1,2,2,2.2011448753619933e-07,0.9999999755000002,2.449999980669304e-08,0.21675825767320145,0.21675873,4.7232679856179516e-07,True,1.354601514582586,1.3546015,1.4582586027600541e-08,1.0765222001168436e-08,0.39087004873955145,0.390870094,4.526044855568401e-08,1.1378432569093846,1.13784277,4.869093845893957e-07,4.27923074318638e-07,0.3146990832281281,0.314698964,1.1922812809261885e-07,-1.376950173579858,-1.37695014,3.357985800533925e-08,2.438712645500948e-08,0.025452741555967804,0.0254527461,4.544032195658021e-09,-0.855889039290411,-0.855889201,1.6170958894168308e-07,1.889375626024503e-07,0.04285766867911568,0.0428576656,3.0791156846454726e-09,-0.8570165484614034,-0.857016563,1.4538596548874239e-08,1.6964195819760182e-08,0.04280937349637975,0.0428093858,1.230362025456122e-08,0.5974109898395259,0.597411036,4.6160474109768757e-08,7.726753423496309e-08,0.18331108430085724,0.18331112,3.5699142753031765e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00469,2,4,6,6,1,1,8.969694471635365e-08,0.9999999721321,2.786789998765471e-08,0.3829554112423521,0.38295555000000014,1.3875764803827906e-07,True,3.2562954842520995,3.25629592,4.357479004291065e-07,1.3381706375740294e-07,0.3655278617191316,0.365527838,2.3719131603261445e-08,-5.235439830747934,-5.23543882,1.0107479342380543e-06,1.9305883878215806e-07,7.499057727577171e-05,7.49906321e-05,5.482422828705872e-11,-1.394751954862039,-1.39475346,1.5051379609332116e-06,1.079143826030408e-06,0.003491372991735872,0.00349136535,7.641735872126326e-09,1.8895444304192877,1.88954461,1.795807123006199e-07,9.503915833340376e-08,0.09318543675658557,0.0931854099,2.6856585566559232e-08,-2.1548990245559443,-2.15489864,3.845559444215496e-07,1.7845659589585376e-07,0.001632557814969316,0.00163255725,5.649693159050923e-10,3.6392508954944516,3.63925147,5.745055484673856e-07,1.5786368265475954e-07,0.5360877801403019,0.536087811,3.08596981302145e-08
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00473,2,6,6,6,4,4,9.126452431431234e-07,1.000000024078,2.407800003823013e-08,1.2740865733630171,1.2740840899999997,2.4833630174470045e-06,True,2.790510890594099,2.79051113,2.3940590088145086e-07,8.579285667309522e-08,0.16396760341237113,0.163967758,1.5458762886444433e-07,-6.467498711061381,-6.46749973,1.0189386188130811e-06,1.5754755653377828e-07,1.5633476514758764e-05,1.563347e-05,6.514758764191667e-12,-3.0130018476204117,-3.01300168,1.67620411772873e-07,5.563236275651644e-08,0.0004946801583153701,0.000494680658,4.996846299362354e-10,2.889787533540005,2.88978863,1.0964599947982379e-06,3.7942581662917916e-07,0.18108119305317688,0.181081504,3.109468231232704e-07,-0.3636719723554087,-0.363672227,2.5464459130208894e-07,7.002040593142831e-07,0.006997031622515004,0.00699703395,2.327484996400564e-09,4.163874106903022,4.16387272,1.3869030226487666e-06,3.3307996040262316e-07,0.6474438582771068,0.647443414,4.4427710677030774e-07
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00495,2,2,1,1,2,2,1.0777146379353975e-06,1.000000036491127,3.649112700898627e-08,0.014128010807954894,0.014125800000002187,2.2108079527072277e-06,True,21.887301203181394,21.8872986,2.6031813931126635e-06,1.189356955865478e-07,0.5035285796117553,0.503528059,5.206117553724354e-07,21.87317319237344,21.8731728,3.9237344040543576e-07,1.7938569632971467e-08,0.4964647389010715,0.496465296,5.570989284886529e-07,10.657173123803341,10.6571722,9.238033413794255e-07,8.668371346206843e-08,6.680999967254711e-06,6.68100392e-06,3.952745288979991e-12,1.1310813567984694,1.13108206,7.032015305608041e-07,6.21707294823795e-07,4.872057229799577e-10,4.87207052e-10,1.3290200422612907e-15,-24.201006724100722,-24.2010059,8.241007236620135e-07,3.405233232885836e-08,4.854296645470987e-21,4.8543171e-21,2.0454529013244952e-26,-31.347722152055642,-31.3477211,1.0520556408266657e-06,3.356083213075425e-08,3.822497749522315e-24,3.82250795e-24,1.0200477684629675e-29
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00540,2,3,1,1,3,3,4.77179400852154e-08,1.0000000477178272,4.7717827245108424e-08,0.002004575355307736,0.002004599999999357,2.4644691620778758e-08,True,12.803921027177115,12.8039217,6.728228854058216e-07,5.2548190821992214e-08,0.5004983750423656,0.500498414,3.895763434069721e-08,1.3443464359780541,1.34434795,1.5140219458142923e-06,1.126214125537361e-06,5.27925526705897e-06,5.27926022e-06,4.952941030063134e-12,12.801916451821807,12.8019171,6.481781937850428e-07,5.063134072342757e-08,0.49949609324470373,0.499496102,8.755296265761103e-09,-1.6959966312145618,-1.69599605,5.812145618122599e-07,3.426979459245931e-07,2.5244597152316705e-07,2.52445915e-07,5.6523167032516833e-14,-11.877645705005285,-11.8776474,1.6949947152511413e-06,1.427046030289373e-07,9.557282762950012e-12,9.55726991e-12,1.2852950012978796e-17,-13.37654157875702,-13.3765392,2.378757020693456e-06,1.778304957741174e-07,2.1348739029658613e-12,2.13487561e-12,1.7070341385192455e-18
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B2-R00778,2,5,5,5,1,1,7.865301930552665e-07,1.000000000306672,3.0667202111089864e-10,0.013338983096059298,0.013338329999999843,6.530960594552937e-07,True,3.636847336705139,3.63684726,7.670513868518469e-08,2.109110765003322e-08,0.35370949702139304,0.353709698,2.009786069789854e-07,-1.4365917926361,-1.43659115,6.426361001121705e-07,4.4733382398973187e-07,0.002214522527397781,0.00221452536,2.8326022191889344e-09,1.9052320903145141,1.90523446,2.3696854858368255e-06,1.2437778567154197e-06,0.06260597369300352,0.0626061633,1.8960699647851964e-07,3.1755907401063217,3.17558861,2.13010632155175e-06,6.707748245545118e-07,0.22301061021124063,0.223010272,3.382112406247195e-07,3.650186319801198,3.65018559,7.298011981404784e-07,1.999353277342363e-07,0.3584592299005199,0.358459175,5.49005199079744e-08,-10.931264694290967,-10.9312639,7.942909672209453e-07,7.266231213262788e-08,1.6664644515412143e-07,1.66646672e-07,2.268458785729465e-13
EXP-EMBED-C1-FUSED-EQUIV-001,GOLD-MODEL-C1-B6-R00000,6,2,2,2,1,1,9.796454671887265e-10,1.0000000009796395,9.796394806471653e-10,20.77690781961085,20.776910800000003,2.980389151474583e-06,True,20.76957743355673,20.7695789,1.466443269038109e-06,7.060534927729557e-08,9.477713634181855e-10,9.4776853e-10,2.833418185527642e-15,41.54648525316758,41.5464897,4.446832420512692e-06,1.0703269827556971e-07,0.9999999990203574,1.0,9.796425892716343e-10,17.37716363690466,17.3771667,3.0630953418153695e-06,1.7627130674594886e-07,3.1871095398906675e-11,3.18710509e-11,4.449890667709544e-17,-3.2860351424830663,-3.28603482,3.2248306647275626e-07,9.813743690795543e-08,3.3844163303867643e-20,3.38440625e-20,1.0080386764113966e-25,-26.676712916221117,-26.6767139,9.837788823574556e-07,3.6877814948454774e-08,2.3498573388782982e-30,2.34983991e-30,1.7428878298158713e-35,-49.7304782649243,-49.7304955,1.7235075702615177e-05,3.465696752562975e-07,2.2851694992326693e-40,2.28512543e-40,4.4069232669245447e-45
