experiment_id,candidate_id,sample_id,class_label,reference_score,candidate_score,score_absolute_error,score_pass,reference_probability,candidate_probability,probability_absolute_error,probability_pass,probability_sum,normalization_error,normalization_pass
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,1,3.4546875400103,3.45468664,9.000103000644799e-07,True,0.914208755865913,0.91420871,4.586591295652198e-08,True,1.00000003009,3.009000004716711e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,2,-0.8426660512937496,-0.842666209,1.5770625039213115e-07,True,0.0124373662937289,0.0124373753,9.00627109869101e-09,True,1.00000003009,3.009000004716711e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,3,-0.2711403863270716,-0.271140277,1.0932707161792621e-07,True,0.02202616394889231,0.0220261831,1.9151107689269198e-08,True,1.00000003009,3.009000004716711e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,4,-0.19527111791148188,-0.195271835,7.170885181206899e-07,True,0.023762299866929796,0.0237623043,4.433070202591871e-09,True,1.00000003009,3.009000004716711e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,5,-1.9346317249179643,-1.93463111,6.149179643255565e-07,True,0.004173436005047893,0.00417344319,7.184952107233689e-09,True,1.00000003009,3.009000004716711e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,6,-0.21097825956016436,-0.210977435,8.245601643697142e-07,True,0.023391978019488086,0.0233920142,3.618051191284222e-08,True,1.00000003009,3.009000004716711e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00121,1,3.883125833290729,3.88312697,1.1367092711545013e-06,True,0.6245456345243792,0.624545991,3.5647562079965667e-07,True,1.0000000067789998,6.778999805945318e-09,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00121,2,3.2979513832506258,3.29795098,4.0325062578006055e-07,True,0.34787734145281635,0.347876996,3.45452816352676e-07,True,1.0000000067789998,6.778999805945318e-09,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00121,3,0.3243415249571435,0.324342281,7.560428564867827e-07,True,0.017782949274042368,0.0177829526,3.3259576308342087e-09,True,1.0000000067789998,6.778999805945318e-09,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00121,4,-0.3490089488532151,-0.349009067,1.181467849109552e-07,True,0.00906925043468289,0.00906924251,7.92468288907111e-09,True,1.0000000067789998,6.778999805945318e-09,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00121,5,-3.4413674622231625,-3.44136739,7.222316256161321e-08,True,0.00041169648215637117,0.000411696266,2.161563711767893e-10,True,1.0000000067789998,6.778999805945318e-09,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00121,6,-3.7150423304222544,-3.71503997,2.3604222545436926e-06,True,0.0003131278319227799,0.000313128403,5.71077220072342e-10,True,1.0000000067789998,6.778999805945318e-09,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00218,1,-21.656666753116443,-21.6566753,8.546883556448392e-06,True,8.639126208050836e-79,0.0,8.639126208050836e-79,True,1.0,0.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00218,2,158.09125414903897,158.091171,8.314903897144177e-05,True,1.0,1.0,0.0,True,1.0,0.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00218,3,82.91418563286015,82.9141922,6.567139848812076e-06,True,2.243954144248281e-33,2.244155e-33,2.0085575171889886e-37,True,1.0,0.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00218,4,44.462212219778706,44.4622421,2.988022129102319e-05,True,4.482642518623462e-50,0.0,4.482642518623462e-50,True,1.0,0.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00218,5,-74.65548578168921,-74.6554947,8.918310797412232e-06,True,8.305679473125528e-102,0.0,8.305679473125528e-102,True,1.0,0.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00218,6,-189.15549946687116,-189.155518,1.8533128837816548e-05,True,1.558299910742606e-151,0.0,1.558299910742606e-151,True,1.0,0.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00231,1,1.354601514582586,1.35460293,1.4154174139413556e-06,True,0.39087004873955145,0.390870422,3.7326044854957274e-07,True,1.0000000409,4.09000000534121e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00231,2,1.1378432569093846,1.13784325,6.9093846200019016e-09,True,0.3146990832281281,0.314698964,1.1922812809261885e-07,True,1.0000000409,4.09000000534121e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00231,3,-1.376950173579858,-1.3769511,9.26420142155493e-07,True,0.025452741555967804,0.025452707,3.455596780249648e-08,True,1.0000000409,4.09000000534121e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00231,4,-0.855889039290411,-0.855887771,1.268290411027273e-06,True,0.04285766867911568,0.0428577028,3.412088431936633e-08,True,1.0000000409,4.09000000534121e-08,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00231,5,-0.8570165484614034,-0.857015014,1.534461403385201e-06,True,0.04280937349637975,0.0428094231,4.960362025296927e-08,True,1.0000000409,4.09000000534121e-08,True
