experiment_id,source_experiment_id,sample_id,batch,row_index_in_batch,model_id,reference_method,candidate_method,top_k,rank_overlap_at_k,full_predicted_class,full_target_probability,candidate_prediction_preserved,candidate_keep_predicted_class,candidate_delete_predicted_class,candidate_keep_target_probability,candidate_delete_target_probability,candidate_probability_closeness,candidate_sufficiency_gap,candidate_absolute_sufficiency_gap,candidate_comprehensiveness_drop,reference_prediction_preserved,reference_keep_predicted_class,reference_delete_predicted_class,reference_keep_target_probability,reference_delete_target_probability,reference_probability_closeness,reference_sufficiency_gap,reference_absolute_sufficiency_gap,reference_comprehensiveness_drop,candidate_minus_reference_probability_closeness,candidate_minus_reference_absolute_sufficiency_gap,candidate_minus_reference_comprehensiveness_drop
EXP-FID-0001,EXP-XAI-0001,B10:0,10,0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,1,0.0,1,0.9070371593583346,1,1,1,0.6707478833798594,0.9579046717239944,0.7637107240215247,0.23628927597847527,0.23628927597847527,-0.050867512365659784,1,1,1,0.8215859027753215,0.8411312008736936,0.9145487434169869,0.08545125658301311,0.08545125658301311,0.06590595848464098,-0.15083801939546215,0.15083801939546215,-0.11677347085030076
EXP-FID-0001,EXP-XAI-0001,B10:0,10,0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,3,0.6666666666666666,1,0.9070371593583346,1,1,1,0.9076961788918734,0.8839344161195445,0.9993409804664612,-0.0006590195335387516,0.0006590195335387516,0.023102743238790135,1,1,1,0.8342916177506607,0.8737338405276575,0.9272544583923261,0.07274554160767388,0.07274554160767388,0.033303318830677164,0.07208652207413513,-0.07208652207413513,-0.010200575591887029
EXP-FID-0001,EXP-XAI-0001,B10:0,10,0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,5,0.4,1,0.9070371593583346,1,1,1,0.8836532214561226,0.8690500845824953,0.976616062097788,0.02338393790221205,0.02338393790221205,0.03798707477583929,1,1,1,0.7181912946502098,0.8924433145018335,0.8111541352918752,0.1888458647081248,0.1888458647081248,0.01459384485650117,0.16546192680591276,-0.16546192680591276,0.02339322991933812
EXP-FID-0001,EXP-XAI-0001,B10:0,10,0,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,10,0.6,1,0.9070371593583346,1,1,1,0.6490007730218426,0.7090893736707067,0.7419636136635079,0.25803638633649206,0.25803638633649206,0.19794778568762794,1,1,1,0.4768272476518396,0.8947442231014497,0.569790088293505,0.43020991170649503,0.43020991170649503,0.012292936256884879,0.17217352537000297,-0.17217352537000297,0.18565484943074306
EXP-FID-0001,EXP-XAI-0001,B10:1,10,1,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,1,1.0,1,0.5674499220384284,1,1,1,0.6352712920446906,0.840031689936126,0.9321786299937378,-0.0678213700062622,0.0678213700062622,-0.2725817678976976,1,1,1,0.6352712920446906,0.8400316899361258,0.9321786299937378,-0.0678213700062622,0.0678213700062622,-0.2725817678976974,0.0,0.0,-2.220446049250313e-16
EXP-FID-0001,EXP-XAI-0001,B10:1,10,1,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,3,0.6666666666666666,1,0.5674499220384284,1,1,1,0.6473120420440475,0.749539423956574,0.9201378799943809,-0.0798621200056191,0.0798621200056191,-0.18208950191814566,1,1,3,0.8932494125864353,0.25879652231761024,0.6742005094519931,-0.32579949054800694,0.32579949054800694,0.3086533997208181,0.24593737054238785,-0.24593737054238785,-0.4907429016389638
EXP-FID-0001,EXP-XAI-0001,B10:1,10,1,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,5,0.8,1,0.5674499220384284,1,1,3,0.52024164354541,0.4107216233460175,0.9527917215069817,0.04720827849301834,0.04720827849301834,0.1567282986924109,1,1,3,0.824533262833385,0.13806525042545334,0.7429166592050434,-0.25708334079495665,0.25708334079495665,0.429384671612975,0.2098750623019383,-0.2098750623019383,-0.2726563729205641
EXP-FID-0001,EXP-XAI-0001,B10:1,10,1,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,10,0.9,1,0.5674499220384284,0,2,3,0.05551956809709814,0.44983058751461275,0.48806964605866976,0.5119303539413302,0.5119303539413302,0.11761933452381562,0,2,3,0.1896137336094954,0.1798628064269671,0.622163811571067,0.37783618842893296,0.37783618842893296,0.3875871156114613,-0.13409416551239728,0.13409416551239728,-0.2699677810876457
EXP-FID-0001,EXP-XAI-0001,B10:11,10,11,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,1,0.0,3,0.9264962632452204,0,1,3,0.23699258750804283,0.8460127550644406,0.3104963242628225,0.6895036757371775,0.6895036757371775,0.08048350818077976,0,1,3,0.27018503259494303,0.8181503021818759,0.3436887693497226,0.6563112306502774,0.6563112306502774,0.10834596106334449,-0.03319244508690011,0.03319244508690011,-0.027862452882564726
EXP-FID-0001,EXP-XAI-0001,B10:11,10,11,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,3,0.6666666666666666,3,0.9264962632452204,1,3,3,0.6036943868279895,0.5228268963363757,0.6771981235827691,0.3228018764172309,0.3228018764172309,0.4036693669088447,1,3,3,0.6229297715010174,0.5109286841733627,0.696433508255797,0.303566491744203,0.303566491744203,0.4155675790718577,-0.019235384673027878,0.019235384673027878,-0.011898212163013011
EXP-FID-0001,EXP-XAI-0001,B10:11,10,11,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,5,0.8,3,0.9264962632452204,1,3,1,0.7728511967888819,0.3343067984354391,0.8463549335436615,0.15364506645633846,0.15364506645633846,0.5921894648097813,1,3,1,0.8268129393863642,0.2593189952908088,0.9003166761411439,0.09968332385885614,0.09968332385885614,0.6671772679544116,-0.05396174259748232,0.05396174259748232,-0.07498780314463027
EXP-FID-0001,EXP-XAI-0001,B10:11,10,11,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,10,0.7,3,0.9264962632452204,1,3,1,0.7720812904953833,0.3366463006175565,0.8455850272501629,0.15441497274983707,0.15441497274983707,0.5898499626276639,1,3,1,0.8182055518100726,0.27853251443471505,0.8917092885648522,0.10829071143514779,0.10829071143514779,0.6479637488105053,-0.046124261314689274,0.046124261314689274,-0.058113786182841465
EXP-FID-0001,EXP-XAI-0001,B10:123,10,123,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,1,1.0,2,0.9255916258844382,0,4,2,0.08828176002421827,0.5102829292539145,0.16269013413978006,0.8373098658602199,0.8373098658602199,0.4153086966305237,0,4,2,0.08828176002421827,0.5102829292539154,0.16269013413978006,0.8373098658602199,0.8373098658602199,0.41530869663052283,0.0,0.0,8.881784197001252e-16
EXP-FID-0001,EXP-XAI-0001,B10:123,10,123,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,3,0.3333333333333333,2,0.9255916258844382,0,4,2,0.11847392962375088,0.7610424133758331,0.1928823037393127,0.8071176962606873,0.8071176962606873,0.1645492125086051,1,2,3,0.5474787869929743,0.04749548265326469,0.621887161108536,0.37811283889146396,0.37811283889146396,0.8780961432311736,-0.42900485736922334,0.42900485736922334,-0.7135469307225685
EXP-FID-0001,EXP-XAI-0001,B10:123,10,123,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,5,0.4,2,0.9255916258844382,0,5,3,0.05016662492259639,0.30754995737390733,0.12457499903815816,0.8754250009618418,0.8754250009618418,0.6180416685105309,1,2,3,0.8942730543073542,0.001090450348427524,0.9686814284229159,0.031318571577084064,0.031318571577084064,0.9245011755360107,-0.8441064293847578,0.8441064293847578,-0.30645950702547986
EXP-FID-0001,EXP-XAI-0001,B10:123,10,123,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,10,0.5,2,0.9255916258844382,0,5,1,0.03386186179901433,0.06104893595977497,0.10827023591457607,0.8917297640854239,0.8917297640854239,0.8645426899246632,1,2,3,0.9991748010105417,1.8530040528294201e-06,0.9264168248738965,-0.07358317512610346,0.07358317512610346,0.9255897728803854,-0.8181465889593205,0.8181465889593205,-0.06104708295572214
EXP-FID-0001,EXP-XAI-0001,B10:125,10,125,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,1,0.0,2,0.9999998549913661,0,4,2,0.099895131957342,0.9999990920484795,0.09989527696597589,0.9001047230340241,0.9001047230340241,7.629428866451349e-07,0,1,2,0.026760821881196953,0.9999970550220166,0.026760966889830873,0.9732390331101691,0.9732390331101691,2.7999693494873412e-06,0.07313431007614501,-0.07313431007614501,-2.0370264628422063e-06
EXP-FID-0001,EXP-XAI-0001,B10:125,10,125,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,3,0.0,2,0.9999998549913661,1,2,2,0.7835447816064098,0.9999245797320994,0.7835449266150437,0.2164550733849563,0.2164550733849563,7.527525926676049e-05,0,1,2,0.05804589986968219,0.9995023675613938,0.058046044878316105,0.9419539551216839,0.9419539551216839,0.0004974874299723542,0.7254988817367276,-0.7254988817367276,-0.0004222121707055937
EXP-FID-0001,EXP-XAI-0001,B10:125,10,125,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,INTRINSIC_COEFFICIENT,5,0.2,2,0.9999998549913661,1,2,2,0.9976871056554885,0.9902650897768621,0.9976872506641223,0.002312749335877662,0.002312749335877662,0.009734765214504004,0,1,2,0.2936866964774315,0.9412403991412982,0.2936868414860654,0.7063131585139346,0.7063131585139346,0.05875945585006792,0.704000409178057,-0.704000409178057,-0.04902469063556392
