experiment_id,source_experiment_id,model_id,batch,sample_id,true_class,original_predicted_class,correct,category,method,evaluation_label,k,selected_features,original_target_score,deleted_target_score,target_score_drop,deleted_predicted_class,class_flip,retained_target_score,target_score_retained_ratio,retained_predicted_class,random_target_score_drop_mean,selected_minus_random,perturbation_standardized_l2,features_altered,reference_source,unit,measurement_type
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:0,1,1,True,CORRECT_REPRESENTATIVE,INTRINSIC_COEFFICIENT,LOCAL_FIDELITY,1,[106],0.914208755865913,0.9568314825492448,-0.04262272668333178,1,False,0.7041764201601051,0.770257794668712,1,0.002679440615350644,-0.04530216729868242,1.2159551723984585,1,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:0,1,1,True,CORRECT_REPRESENTATIVE,INTRINSIC_COEFFICIENT,LOCAL_FIDELITY,3,"[106, 25, 89]",0.914208755865913,0.72714128009236,0.18706747577355298,1,False,0.9150592075201042,1.0009302597997825,1,0.015394186232849882,0.1716732895407031,2.215660594187481,3,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:0,1,1,True,CORRECT_REPRESENTATIVE,INTRINSIC_COEFFICIENT,LOCAL_FIDELITY,5,"[106, 25, 89, 98, 81]",0.914208755865913,0.5592523605079609,0.3549563953579521,1,False,0.8948257022542572,0.9787980004705854,1,-0.00024204828015860952,0.3551984436381107,2.8039189682572325,5,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:0,1,1,True,CORRECT_REPRESENTATIVE,INTRINSIC_COEFFICIENT,LOCAL_FIDELITY,10,"[106, 25, 89, 98, 81, 108, 42, 100, 34, 105]",0.914208755865913,0.8322609817511329,0.08194777411478005,1,False,0.3013985240685462,0.32968238614502215,2,0.028103260776983933,0.053844513337796114,3.5971169198147663,10,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:0,1,1,True,CORRECT_REPRESENTATIVE,SINGLE_FEATURE_ABLATION_LOCAL,ABLATION_CONSISTENCY,1,[25],0.914208755865913,0.8191020937814113,0.09510666208450169,1,False,0.9312372243270148,1.018626455229006,1,0.0038343469744960873,0.09127231511000561,1.2919441126698916,1,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:0,1,1,True,CORRECT_REPRESENTATIVE,SINGLE_FEATURE_ABLATION_LOCAL,ABLATION_CONSISTENCY,3,"[25, 89, 81]",0.914208755865913,0.33104750012061257,0.5831612557453004,3,True,0.9742286657782182,1.0656523026356886,1,0.009859014354104523,0.5733022413911959,2.2337456788309478,3,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:0,1,1,True,CORRECT_REPRESENTATIVE,SINGLE_FEATURE_ABLATION_LOCAL,ABLATION_CONSISTENCY,5,"[25, 89, 81, 26, 106]",0.914208755865913,0.33183239667571823,0.5823763591901947,3,True,0.9669145268732199,1.0576517897790045,1,0.01473344120429818,0.5676429179858965,2.8246328544282786,5,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:0,1,1,True,CORRECT_REPRESENTATIVE,SINGLE_FEATURE_ABLATION_LOCAL,ABLATION_CONSISTENCY,10,"[25, 89, 81, 26, 106, 17, 66, 108, 27, 82]",0.914208755865913,0.1471458806476226,0.7670628752182904,3,True,0.9859693586072247,1.0784947664096063,1,0.024110560420736567,0.7429523147975539,3.6101572968224622,10,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:1,1,1,True,CORRECT_REPRESENTATIVE,INTRINSIC_COEFFICIENT,LOCAL_FIDELITY,1,[25],0.9715136026734131,0.9560402748408492,0.015473327832563943,1,False,0.9194634314966619,0.9464236310911968,1,0.0007295507052623903,0.014743777127301553,1.0575317788509893,1,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
EXP-XAI-FIDELITY-001,EXP-XAI-0001,MODEL-C1,2,B2:1,1,1,True,CORRECT_REPRESENTATIVE,INTRINSIC_COEFFICIENT,LOCAL_FIDELITY,3,"[25, 89, 106]",0.9715136026734131,0.9528309146013149,0.018682688072098275,1,False,0.9242934898249765,0.9513953147763488,1,0.002896208143470243,0.01578647992862803,1.6908890895472157,3,BATCH_1_SAVED_SCALER_MEAN,probability,EXECUTED
