experiment_id,model_id,method,center_sample_id,neighbor_sample_id,batch,true_class,predicted_class,category,input_distance,model_output_distance,explanation_distance,spearman,kendall_tau_b,jaccard_at_5,jaccard_at_10,jaccard_at_20,cosine_similarity,sign_agreement,top_k_sign_agreement,sign_flip_frequency,neighbor_count_requested,unit,status
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B10:0,B10:4,10,4,1,MISCLASSIFIED,0.6515830198706971,0.07624959870214254,0.3002724273897535,0.7331246566562899,0.6043307086614174,0.1111111111111111,0.25,0.42857142857142855,0.7368244203795281,0.7890625,0.8214285714285714,0.2109375,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B10:0,B10:2,10,4,1,MISCLASSIFIED,1.1019812479342261,0.08944627138807404,0.5718199285784182,0.30873466398095584,0.21653543307086617,0.1111111111111111,0.05263157894736842,0.14285714285714285,0.479561974088152,0.59375,0.5714285714285714,0.40625,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B10:0,B10:4,10,4,1,MISCLASSIFIED,0.6515830198706971,0.07624959870214254,0.3098852149019947,0.710824482695477,0.5430610236220473,0.25,0.17647058823529413,0.3793103448275862,0.7470669594547158,0.7421875,0.7931034482758621,0.2578125,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B10:0,B10:2,10,4,1,MISCLASSIFIED,1.1019812479342261,0.08944627138807404,0.5672435584275066,0.20350553927852041,0.14197834645669294,0.1111111111111111,0.17647058823529413,0.14285714285714285,0.48838829181551924,0.5625,0.5142857142857142,0.4375,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B10:1,B10:2981,10,3,1,MISCLASSIFIED,2.395045434374067,0.3967806181201636,0.37619947666605424,0.5765141457608496,0.4333169291338584,0.1111111111111111,0.25,0.25,0.7351425427016096,0.3203125,0.15625,0.6796875,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B10:1,B10:2927,10,3,1,MISCLASSIFIED,2.5935423576576415,0.3969308401354472,0.36628480032051336,0.6347795733382164,0.46751968503937014,0.1111111111111111,0.25,0.25,0.742933281704899,0.3046875,0.15625,0.6953125,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B10:1,B10:2981,10,3,1,MISCLASSIFIED,2.395045434374067,0.3967806181201636,0.4740141726585491,0.2045641823841787,0.15108267716535434,0.0,0.17647058823529413,0.2903225806451613,0.5964352927258308,0.4453125,0.3225806451612903,0.5546875,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B10:1,B10:2927,10,3,1,MISCLASSIFIED,2.5935423576576415,0.3969308401354472,0.45227268811505994,0.2551730452298113,0.19365157480314962,0.0,0.17647058823529413,0.3333333333333333,0.6329532389059039,0.4453125,0.3333333333333333,0.5546875,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B10:11,B10:9,10,3,3,CORRECT_REPRESENTATIVE,0.3532595506912387,0.06375820164732994,0.20373034501104637,0.754749587987548,0.6102362204724411,0.6666666666666666,0.5384615384615384,0.42857142857142855,0.8727050606077043,0.8125,0.9285714285714286,0.1875,3,standardized_distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,B10:11,B10:2287,10,3,3,CORRECT_REPRESENTATIVE,0.46257961292414707,0.4269553504356833,0.2110112702745021,0.7927691814685955,0.6131889763779528,0.25,0.3333333333333333,0.48148148148148145,0.8668795476536822,0.765625,0.9629629629629629,0.234375,3,standardized_distance_similarity_or_proportion,EXECUTED
